TxID,Zone,CID,"r_{i,t}","phi_{i,t}","p_{i,t,j,1}",Aadhaar,Device Drain,Temp (°C),Elevation (m),Proxy Access,Scan Result
T000597,Z4,3db7ce,1,0.296,0.693,Anonymous,32%,34.1,485,Enabled,Valid
T000598,Z3,04e9ee,1,0.281,0.789,Anonymous,27%,27.2,132,Enabled,Valid
T000599,Z4,f5c713,1,0.389,0.441,Linked,63%,39.9,971,Enabled,Valid
T000600,Z5,59627b,1,0.314,0.787,Anonymous,38%,29.8,115,Disabled,Valid
T000601,Z2,69fafb,1,0.242,0.712,Anonymous,14%,41.7,1089,Disabled,Valid
T000602,Z5,38d16a,1,0.407,0.421,Linked,69%,34.8,1171,Disabled,Failed
T000603,Z2,9528e9,1,0.359,0.661,Anonymous,53%,35.0,122,Enabled,Valid
T000604,Z4,ed7b76,1,0.341,0.731,Anonymous,47%,31.3,172,Disabled,Failed
T000605,Z3,9bbece,1,0.452,0.539,Linked,84%,29.5,205,Disabled,Failed
T000606,Z5,094c2f,1,0.278,0.686,Anonymous,26%,34.6,669,Enabled,Valid
T000607,Z3,912eba,1,0.461,0.433,Linked,87%,29.6,409,Enabled,Failed
T000608,Z2,68b6f2,1,0.431,0.405,Anonymous,77%,39.9,802,Enabled,Failed
T000609,Z5,60f54a,1,0.32,0.712,Anonymous,40%,36.9,442,Disabled,Valid
T000610,Z3,0b3fe6,1,0.293,0.58,Linked,31%,34.0,1075,Enabled,Valid
T000611,Z5,093f19,1,0.329,0.587,Anonymous,43%,29.2,990,Disabled,Valid
T000612,Z4,d9516a,1,0.434,0.363,Linked,78%,36.6,984,Enabled,Failed
T000613,Z3,51796b,1,0.326,0.56,Anonymous,42%,36.8,901,Enabled,Failed
T000614,Z2,0872de,1,0.35,0.677,Anonymous,50%,35.2,117,Enabled,Valid
T000615,Z4,f7a599,1,0.362,0.594,Linked,54%,30.3,680,Disabled,Valid
T000616,Z1,8052c6,1,0.458,0.451,Linked,86%,36.6,345,Enabled,Failed
T000617,Z2,c55d3b,1,0.326,0.689,Linked,42%,31.4,255,Enabled,Valid
T000618,Z3,b2410d,1,0.257,0.81,Anonymous,19%,31.2,227,Enabled,Valid
T000619,Z1,21f1bd,1,0.254,0.808,Linked,18%,34.4,510,Disabled,Valid
T000620,Z4,9623de,1,0.464,0.309,Anonymous,88%,36.7,1004,Enabled,Valid
T000621,Z1,f05f9b,1,0.236,0.859,Anonymous,12%,40.4,404,Disabled,Valid
T000622,Z1,13ae5e,1,0.38,0.469,Linked,60%,35.6,1155,Disabled,Failed
T000623,Z4,5bdf9a,1,0.437,0.378,Anonymous,79%,30.4,887,Enabled,Failed
T000624,Z4,5bf933,1,0.344,0.703,Anonymous,48%,33.0,285,Disabled,Valid
T000625,Z3,4a01be,1,0.296,0.613,Anonymous,32%,35.3,886,Enabled,Valid
T000626,Z4,61042a,1,0.47,0.402,Anonymous,90%,33.6,488,Enabled,Valid
T000627,Z1,7192c0,1,0.254,0.764,Anonymous,18%,38.9,730,Disabled,Valid
T000628,Z4,bfdf5f,1,0.359,0.648,Anonymous,53%,38.8,187,Enabled,Valid
T000629,Z5,a187f3,1,0.257,0.777,Linked,19%,27.6,389,Enabled,Valid
T000630,Z4,639a8b,1,0.233,0.855,Linked,11%,29.6,202,Enabled,Valid
T000631,Z1,4aaf4e,1,0.272,0.72,Linked,24%,34.5,551,Enabled,Failed
T000632,Z4,499c8c,1,0.449,0.383,Anonymous,83%,35.2,758,Enabled,Failed
T000633,Z2,1ac4d1,1,0.275,0.635,Anonymous,25%,31.1,950,Enabled,Failed
T000634,Z5,2c2a1b,1,0.281,0.641,Linked,27%,28.5,870,Enabled,Valid
T000635,Z4,e48611,1,0.263,0.709,Linked,21%,37.6,681,Enabled,Valid
T000636,Z4,af56c2,1,0.428,0.502,Linked,76%,33.8,589,Disabled,Failed
T000637,Z1,ae92cb,1,0.47,0.357,Anonymous,90%,39.4,716,Enabled,Failed
T000638,Z5,1a05b3,1,0.467,0.277,Linked,89%,32.4,1139,Enabled,Failed
T000639,Z2,b7e33e,1,0.287,0.591,Linked,29%,37.3,1071,Enabled,Valid
T000640,Z1,cf39ed,1,0.395,0.419,Anonymous,65%,30.8,1028,Enabled,Valid
T000641,Z1,6a96a3,1,0.416,0.541,Linked,72%,34.7,245,Enabled,Valid
T000642,Z4,051be4,1,0.353,0.63,Anonymous,51%,30.5,325,Enabled,Valid
T000643,Z2,e42dfc,1,0.257,0.637,Anonymous,19%,34.1,1092,Enabled,Failed
T000644,Z2,bf1c0e,1,0.371,0.616,Linked,57%,29.0,497,Disabled,Valid
T000645,Z3,a0c6ba,1,0.446,0.464,Linked,82%,27.9,379,Enabled,Failed
T000646,Z4,691cd4,1,0.341,0.625,Anonymous,47%,36.1,448,Enabled,Failed
T000647,Z2,fd8c3c,1,0.455,0.316,Anonymous,85%,34.1,1047,Enabled,Valid
T000648,Z4,b66c3f,1,0.452,0.499,Anonymous,84%,30.3,405,Disabled,Failed
T000649,Z1,dd66e3,1,0.422,0.393,Linked,74%,27.5,1187,Disabled,Failed
T000650,Z1,0c75e6,1,0.443,0.359,Linked,81%,38.3,932,Enabled,Valid
T000651,Z3,a40dbc,1,0.347,0.547,Linked,49%,29.4,1040,Disabled,Failed
T000652,Z5,e315e7,1,0.383,0.473,Anonymous,61%,29.8,858,Enabled,Valid
T000653,Z1,8ab4ea,1,0.341,0.585,Anonymous,47%,33.4,652,Enabled,Failed
T000654,Z5,4fcb77,1,0.251,0.746,Linked,17%,34.7,845,Disabled,Valid
T000655,Z4,11a4b4,1,0.368,0.673,Linked,56%,29.6,237,Disabled,Failed
T000656,Z2,82e837,1,0.413,0.489,Linked,71%,38.1,529,Enabled,Failed
T000657,Z2,c1c40d,1,0.335,0.602,Anonymous,45%,27.8,863,Disabled,Valid
T000658,Z5,a64364,1,0.401,0.618,Anonymous,67%,36.3,234,Disabled,Failed
T000659,Z4,269dfd,1,0.338,0.669,Anonymous,46%,41.4,257,Enabled,Valid
T000660,Z1,37a10b,1,0.428,0.541,Linked,76%,41.3,146,Enabled,Valid
T000661,Z5,5a434e,1,0.398,0.641,Anonymous,66%,38.1,143,Disabled,Valid
T000662,Z1,d7994c,1,0.452,0.426,Anonymous,84%,32.1,768,Disabled,Failed
T000663,Z5,cfc79c,1,0.446,0.445,Anonymous,82%,29.0,727,Disabled,Failed
T000664,Z2,b3acd5,1,0.284,0.603,Anonymous,28%,32.3,1033,Enabled,Failed
T000665,Z2,0bd3ff,1,0.287,0.737,Linked,29%,29.4,339,Enabled,Failed
T000666,Z5,f68dd2,1,0.299,0.801,Anonymous,33%,30.1,171,Disabled,Valid
T000667,Z3,ee7f44,1,0.434,0.53,Anonymous,78%,31.5,151,Enabled,Failed
T000668,Z2,cd60c1,1,0.437,0.399,Linked,79%,41.6,778,Enabled,Failed
T000669,Z4,2658b3,1,0.272,0.844,Anonymous,24%,38.0,182,Disabled,Valid
T000670,Z1,d67135,1,0.401,0.461,Anonymous,67%,32.4,768,Enabled,Failed
T000671,Z2,e985e1,1,0.305,0.623,Linked,35%,27.3,1012,Disabled,Failed
T000672,Z1,216494,1,0.35,0.521,Linked,50%,36.0,1147,Disabled,Failed
T000673,Z3,63db6e,1,0.377,0.569,Anonymous,59%,32.6,682,Disabled,Valid
T000674,Z4,8b29fc,1,0.389,0.547,Linked,63%,39.1,691,Disabled,Failed
T000675,Z4,4f9f97,1,0.308,0.535,Linked,36%,31.5,1175,Enabled,Valid
T000676,Z5,b4504f,1,0.332,0.571,Linked,44%,33.2,1046,Disabled,Valid
T000677,Z2,ccc1d0,1,0.44,0.456,Anonymous,80%,34.4,718,Disabled,Failed
T000678,Z4,ffcadb,1,0.23,0.757,Linked,10%,29.3,714,Enabled,Failed
T000679,Z4,ad9d54,1,0.416,0.47,Anonymous,72%,40.6,601,Enabled,Valid
T000680,Z3,1b1264,1,0.446,0.464,Anonymous,82%,33.5,628,Disabled,Failed
T000681,Z1,c002e2,1,0.29,0.77,Linked,30%,35.7,399,Disabled,Valid
T000682,Z2,68b2fa,1,0.368,0.554,Linked,56%,33.3,829,Disabled,Valid
T000683,Z5,95f3a5,1,0.266,0.752,Linked,22%,36.0,442,Enabled,Valid
T000684,Z3,d28d91,1,0.434,0.481,Anonymous,78%,35.7,394,Enabled,Valid
T000685,Z3,9e279e,1,0.29,0.767,Anonymous,30%,28.5,416,Disabled,Valid
T000686,Z2,6d1cb3,1,0.404,0.592,Linked,68%,40.7,338,Disabled,Valid
T000687,Z1,ffae21,1,0.281,0.631,Anonymous,27%,39.3,1171,Disabled,Failed
T000688,Z2,1878a1,1,0.278,0.742,Linked,26%,39.9,391,Enabled,Valid
T000689,Z2,b70242,1,0.272,0.662,Linked,24%,28.2,1091,Disabled,Valid
T000690,Z2,616147,1,0.275,0.837,Linked,25%,40.6,188,Disabled,Valid
T000691,Z1,76d63b,1,0.299,0.753,Linked,33%,37.1,159,Enabled,Valid
T000692,Z3,2cec49,1,0.422,0.461,Anonymous,74%,38.7,595,Enabled,Failed
T000693,Z1,2f9a32,1,0.338,0.48,Linked,46%,29.6,1200,Enabled,Failed
T000694,Z1,e487c3,1,0.455,0.511,Anonymous,85%,29.8,319,Disabled,Failed
T000695,Z4,e37082,1,0.272,0.731,Linked,24%,38.4,743,Disabled,Valid
T000696,Z5,ab788b,1,0.443,0.541,Anonymous,81%,37.8,268,Disabled,Valid
T000697,Z4,77bbe5,1,0.314,0.671,Anonymous,38%,35.3,695,Disabled,Valid
T000698,Z1,cdb830,1,0.416,0.408,Linked,72%,37.1,911,Enabled,Failed
T000699,Z1,2be278,1,0.455,0.486,Anonymous,85%,41.7,445,Disabled,Valid
T000700,Z2,1a1662,1,0.317,0.531,Anonymous,39%,39.6,1122,Enabled,Failed
T000701,Z5,911727,1,0.41,0.464,Anonymous,70%,37.0,928,Disabled,Failed
T000702,Z2,2c91d5,1,0.416,0.565,Linked,72%,34.5,375,Disabled,Valid
T000703,Z1,b56814,1,0.374,0.506,Linked,58%,36.1,769,Enabled,Valid
T000704,Z5,9a814e,1,0.305,0.601,Anonymous,35%,31.4,1119,Disabled,Valid
T000705,Z5,f2c19d,1,0.395,0.556,Linked,65%,40.2,343,Enabled,Valid
T000706,Z4,48794e,1,0.296,0.646,Linked,32%,35.3,720,Enabled,Failed
T000707,Z4,04b52c,1,0.416,0.419,Anonymous,72%,38.5,1104,Disabled,Failed
T000708,Z5,88693a,1,0.422,0.452,Anonymous,74%,27.8,639,Enabled,Failed
T000709,Z4,955429,1,0.251,0.877,Anonymous,17%,27.4,192,Disabled,Valid
T000710,Z3,a2865f,1,0.266,0.724,Anonymous,22%,33.4,831,Disabled,Valid
T000711,Z2,6f72c6,1,0.254,0.793,Anonymous,18%,40.0,334,Enabled,Valid
T000712,Z5,dbd50f,1,0.446,0.398,Anonymous,82%,34.7,962,Disabled,Valid
T000713,Z4,2fa21c,1,0.449,0.525,Anonymous,83%,32.9,300,Disabled,Valid
T000714,Z2,4897c2,1,0.464,0.312,Anonymous,88%,31.5,992,Enabled,Failed
T000715,Z1,a6dc8e,1,0.248,0.735,Anonymous,16%,31.5,923,Disabled,Valid
T000716,Z1,973cde,1,0.254,0.673,Anonymous,18%,35.5,1187,Disabled,Valid
T000717,Z3,5dd3bf,1,0.437,0.415,Anonymous,79%,31.7,948,Disabled,Valid
T000718,Z5,f5730b,1,0.47,0.404,Linked,90%,37.5,482,Enabled,Failed
T000719,Z4,400b3c,1,0.428,0.361,Anonymous,76%,30.0,1047,Enabled,Valid
T000720,Z3,a2ffd0,1,0.308,0.641,Anonymous,36%,39.7,646,Enabled,Valid
T000721,Z2,619b84,1,0.272,0.799,Anonymous,24%,29.2,156,Enabled,Valid
T000722,Z3,1253e1,0.999,0.242,0.798,Anonymous,14%,30.0,658,Disabled,Valid
T000723,Z3,f80121,1,0.236,0.886,Linked,12%,27.8,271,Disabled,Valid
T000724,Z1,05226c,1,0.281,0.64,Linked,27%,30.5,1124,Disabled,Valid
T000725,Z5,ca01b4,1,0.32,0.602,Anonymous,40%,36.0,741,Enabled,Failed
T000726,Z4,6260bb,1,0.269,0.703,Linked,23%,29.6,662,Enabled,Valid
T000727,Z5,df7e82,1,0.35,0.486,Anonymous,50%,35.2,1072,Enabled,Valid
T000728,Z3,c7efb1,1,0.347,0.721,Anonymous,49%,27.3,171,Disabled,Failed
T000729,Z1,93563b,1,0.368,0.65,Anonymous,56%,40.5,349,Disabled,Failed
T000730,Z4,782d88,1,0.344,0.644,Anonymous,48%,28.4,582,Disabled,Valid
T000731,Z2,a52239,1,0.335,0.504,Anonymous,45%,40.0,1106,Enabled,Failed
T000732,Z3,b9e48d,1,0.422,0.438,Linked,74%,28.0,961,Disabled,Failed
T000733,Z5,38e20f,1,0.299,0.709,Linked,33%,36.5,378,Enabled,Valid
T000734,Z3,3c7f80,1,0.323,0.672,Linked,41%,34.7,366,Enabled,Valid
T000735,Z4,ff7761,1,0.329,0.581,Anonymous,43%,29.6,770,Enabled,Valid
T000736,Z1,21095c,1,0.374,0.598,Linked,58%,41.2,559,Disabled,Failed
T000737,Z5,d3ea60,1,0.305,0.736,Linked,35%,30.9,445,Disabled,Valid
T000738,Z4,dcdd6e,1,0.371,0.597,Linked,57%,29.6,340,Enabled,Failed
T000739,Z4,c76ece,1,0.308,0.641,Linked,36%,29.9,645,Enabled,Failed
T000740,Z4,57d4a7,1,0.338,0.623,Linked,46%,37.9,487,Enabled,Valid
T000741,Z2,44a574,1,0.467,0.383,Anonymous,89%,33.8,608,Enabled,Failed
T000742,Z4,392c57,1,0.353,0.512,Anonymous,51%,41.6,914,Enabled,Valid
T000743,Z4,5a735e,1,0.443,0.389,Linked,81%,27.9,781,Enabled,Failed
T000744,Z3,b5e17b,1,0.422,0.486,Linked,74%,36.3,719,Disabled,Failed
T000745,Z2,e09cc4,1,0.293,0.686,Linked,31%,34.6,794,Disabled,Valid
T000746,Z1,03383c,1,0.329,0.697,Anonymous,43%,28.8,190,Enabled,Valid
T000747,Z3,8f1b06,1,0.464,0.432,Anonymous,88%,39.4,640,Disabled,Valid
T000748,Z2,ed5b44,1,0.248,0.878,Linked,16%,29.8,211,Disabled,Valid
T000749,Z4,84da76,1,0.272,0.657,Anonymous,24%,41.9,1113,Disabled,Valid
T000750,Z5,50efc4,1,0.284,0.752,Anonymous,28%,28.9,291,Enabled,Failed
T000751,Z2,4d5826,1,0.452,0.508,Anonymous,84%,42.0,108,Enabled,Failed
T000752,Z2,819d5a,1,0.266,0.859,Linked,22%,40.3,153,Disabled,Valid
T000753,Z1,eb0028,1,0.287,0.647,Linked,29%,27.4,1042,Disabled,Failed
T000754,Z4,c2699c,1,0.245,0.72,Linked,15%,36.8,1027,Disabled,Failed
T000755,Z5,dca904,1,0.353,0.696,Linked,51%,39.0,244,Disabled,Failed
T000756,Z4,848d92,1,0.32,0.567,Anonymous,40%,41.5,916,Enabled,Valid
T000757,Z2,d4dfe5,1,0.287,0.634,Anonymous,29%,28.8,1105,Disabled,Valid
T000758,Z3,5e173e,1,0.371,0.445,Anonymous,57%,34.7,1102,Enabled,Failed
T000759,Z4,7bbad6,1,0.371,0.517,Linked,57%,36.2,989,Disabled,Valid
T000760,Z1,e4feab,1,0.287,0.569,Anonymous,29%,41.0,1179,Enabled,Failed
T000761,Z1,9b4cf3,1,0.413,0.523,Anonymous,71%,31.5,361,Enabled,Failed
T000762,Z2,f676f0,1,0.44,0.512,Anonymous,80%,28.1,192,Enabled,Valid
T000763,Z4,e627b5,1,0.365,0.672,Anonymous,55%,30.8,267,Disabled,Valid
T000764,Z1,0b64e6,1,0.245,0.783,Linked,15%,28.2,709,Disabled,Valid
T000765,Z4,797f58,1,0.311,0.639,Anonymous,37%,29.8,631,Enabled,Failed
T000766,Z4,921979,1,0.272,0.665,Linked,24%,27.2,1077,Disabled,Failed
T000767,Z5,dbeec7,1,0.344,0.685,Anonymous,48%,28.3,376,Disabled,Valid
T000768,Z1,617d72,1,0.284,0.662,Linked,28%,36.7,992,Disabled,Valid
T000769,Z5,47ee33,1,0.284,0.831,Anonymous,28%,34.1,144,Disabled,Valid
T000770,Z2,2c8edd,1,0.401,0.513,Anonymous,67%,35.8,512,Enabled,Failed
T000771,Z4,9985e8,1,0.47,0.303,Linked,90%,39.7,984,Enabled,Failed
T000772,Z5,0f55d1,1,0.383,0.475,Linked,61%,34.3,1099,Disabled,Failed
T000773,Z5,0eeff0,1,0.332,0.539,Anonymous,44%,40.4,954,Enabled,Valid
T000774,Z4,989c1a,1,0.236,0.841,Anonymous,12%,29.4,493,Disabled,Valid
T000775,Z2,a46b6e,1,0.278,0.69,Anonymous,26%,40.2,899,Disabled,Failed
T000776,Z3,ae99bc,1,0.263,0.822,Linked,21%,37.0,364,Disabled,Valid
T000777,Z5,651fba,1,0.344,0.721,Anonymous,48%,30.5,196,Disabled,Valid
T000778,Z3,6986e0,1,0.254,0.793,Linked,18%,32.1,333,Enabled,Valid
T000779,Z5,1d80a7,1,0.365,0.596,Anonymous,55%,38.5,647,Disabled,Valid
T000780,Z5,c0c935,1,0.404,0.595,Linked,68%,41.4,327,Disabled,Failed
T000781,Z5,268abc,1,0.47,0.396,Linked,90%,28.8,520,Enabled,Valid
T000782,Z3,f572b7,1,0.287,0.648,Anonymous,29%,36.7,785,Enabled,Valid
T000783,Z2,feeebc,1,0.41,0.373,Linked,70%,32.1,1134,Enabled,Valid
T000784,Z3,0ba48d,1,0.431,0.452,Linked,77%,33.3,567,Enabled,Failed
T000785,Z4,0b3d35,1,0.398,0.596,Anonymous,66%,29.2,120,Enabled,Failed
T000786,Z1,782fcf,1,0.293,0.664,Anonymous,31%,33.5,905,Disabled,Valid
T000787,Z2,868d6b,1,0.383,0.55,Anonymous,61%,40.3,723,Disabled,Failed
T000788,Z3,83590f,1,0.401,0.464,Linked,67%,36.7,1005,Disabled,Valid
T000789,Z4,46cede,1,0.434,0.488,Linked,78%,32.0,358,Enabled,Failed
T000790,Z3,835c83,1,0.29,0.724,Anonymous,30%,27.4,629,Disabled,Failed
T000791,Z3,f41ec6,1,0.371,0.437,Linked,57%,30.9,1139,Enabled,Valid
T000792,Z1,a38858,1,0.359,0.497,Linked,53%,41.7,1192,Disabled,Failed
T000793,Z3,e9431f,1,0.428,0.557,Linked,76%,38.1,315,Disabled,Valid
T000794,Z2,16be29,1,0.392,0.577,Linked,64%,39.4,267,Enabled,Valid
T000795,Z2,6a3276,1,0.371,0.48,Anonymous,57%,37.2,924,Enabled,Failed
T000796,Z4,cd5977,1,0.416,0.449,Anonymous,72%,38.0,953,Disabled,Valid
T000797,Z5,53583b,1,0.425,0.507,Anonymous,75%,39.9,341,Enabled,Valid
T000798,Z4,e59b6f,1,0.461,0.45,Anonymous,87%,39.8,325,Enabled,Valid
T000799,Z3,8034ee,1,0.371,0.492,Linked,57%,31.6,866,Enabled,Valid
T000800,Z1,44930c,1,0.347,0.597,Anonymous,49%,40.3,541,Enabled,Failed
T000801,Z4,131a8e,1,0.245,0.728,Anonymous,15%,33.3,734,Enabled,Valid
T000802,Z3,0b37a3,1,0.422,0.376,Linked,74%,36.5,1021,Enabled,Failed
T000803,Z3,6e1779,1,0.38,0.611,Anonymous,60%,32.1,193,Enabled,Failed
T000804,Z3,d980eb,1,0.443,0.54,Linked,81%,36.7,274,Disabled,Failed
T000805,Z5,6d9097,1,0.422,0.561,Linked,74%,40.5,346,Disabled,Failed
T000806,Z2,0266c2,1,0.452,0.292,Linked,84%,33.7,1192,Enabled,Failed
T000807,Z5,41ca62,1,0.395,0.645,Linked,65%,29.7,149,Disabled,Valid
T000808,Z4,41b091,1,0.437,0.476,Linked,79%,29.5,394,Enabled,Valid
T000809,Z1,3c3bbe,1,0.251,0.712,Anonymous,17%,36.2,766,Enabled,Valid
T000810,Z1,5df282,1,0.284,0.707,Linked,28%,33.2,763,Disabled,Valid
T000811,Z1,e32883,1,0.419,0.358,Linked,73%,34.6,1133,Enabled,Failed
T000812,Z3,733b48,1,0.254,0.723,Anonymous,18%,34.3,934,Disabled,Valid
T000813,Z1,6cbcbf,1,0.344,0.507,Linked,48%,35.5,1013,Enabled,Failed
T000814,Z5,34b369,1,0.323,0.552,Anonymous,41%,35.1,967,Enabled,Failed
T000815,Z1,526288,1,0.23,0.683,Anonymous,10%,27.9,1087,Enabled,Valid
T000816,Z4,026991,1,0.29,0.751,Anonymous,30%,38.1,243,Enabled,Valid
T000817,Z1,c622fa,1,0.464,0.36,Anonymous,88%,34.6,751,Enabled,Failed
T000818,Z3,1c1676,1,0.353,0.487,Anonymous,51%,32.1,1041,Enabled,Valid
T000819,Z2,4a9613,1,0.296,0.57,Linked,32%,33.2,1101,Enabled,Valid
T000820,Z1,6656f7,1,0.275,0.701,Linked,25%,32.3,870,Disabled,Valid
T000821,Z4,7ec569,1,0.371,0.513,Linked,57%,41.0,1010,Disabled,Valid
T000822,Z1,7df023,1,0.464,0.4,Linked,88%,36.4,552,Enabled,Failed
T000823,Z3,a6bca5,0.877,0.23,0.718,Anonymous,10%,29.9,911,Enabled,Failed
T000824,Z5,0faf50,1,0.446,0.448,Linked,82%,37.1,459,Enabled,Failed
T000825,Z1,50fb04,1,0.302,0.801,Linked,34%,39.7,147,Disabled,Valid
T000826,Z5,aec7dc,1,0.248,0.768,Linked,16%,39.8,761,Disabled,Failed
T000827,Z4,6bcb82,1,0.368,0.682,Anonymous,56%,34.8,189,Disabled,Failed
T000828,Z1,8dc1bd,0.767,0.23,0.793,Anonymous,10%,32.9,785,Disabled,Failed
T000829,Z1,6e7278,1,0.305,0.628,Linked,35%,29.5,736,Enabled,Valid
T000830,Z1,1baea7,1,0.455,0.368,Anonymous,85%,39.0,784,Enabled,Valid
T000831,Z1,27acd9,1,0.356,0.573,Anonymous,52%,34.8,584,Enabled,Failed
T000832,Z5,41986c,1,0.26,0.816,Anonymous,20%,41.6,168,Enabled,Valid
T000833,Z1,ff4295,1,0.344,0.513,Anonymous,48%,36.2,984,Enabled,Valid
T000834,Z1,3811d1,1,0.383,0.507,Anonymous,61%,28.4,941,Disabled,Failed
T000835,Z5,551568,1,0.392,0.619,Anonymous,64%,40.2,307,Disabled,Failed
T000836,Z1,642581,1,0.269,0.787,Anonymous,23%,28.5,238,Enabled,Failed
T000837,Z2,eeafc8,1,0.389,0.483,Anonymous,63%,34.2,1010,Disabled,Valid
T000838,Z1,3f10b4,1,0.425,0.459,Anonymous,75%,41.4,832,Disabled,Failed
T000839,Z5,c524dc,1,0.461,0.394,Anonymous,87%,32.1,855,Disabled,Failed
T000840,Z2,927d08,1,0.362,0.628,Linked,54%,29.9,510,Disabled,Failed
T000841,Z1,2b5e99,1,0.458,0.413,Anonymous,86%,37.4,787,Disabled,Valid
T000842,Z3,4f1ba3,1,0.419,0.564,Anonymous,73%,30.3,107,Enabled,Valid
T000843,Z2,a06556,1,0.356,0.566,Linked,52%,39.1,869,Disabled,Valid
T000844,Z1,20e29c,1,0.239,0.857,Linked,13%,35.3,391,Disabled,Valid
T000845,Z5,6712cd,1,0.305,0.665,Linked,35%,31.3,548,Enabled,Valid
T000846,Z2,dd93ac,1,0.236,0.763,Linked,12%,29.6,636,Enabled,Valid
T000847,Z2,817d70,1,0.347,0.534,Anonymous,49%,33.8,857,Enabled,Valid
T000848,Z2,d8f3ac,1,0.284,0.737,Linked,28%,40.2,367,Enabled,Valid
T000849,Z5,5f565b,1,0.323,0.698,Anonymous,41%,40.8,487,Disabled,Valid
T000850,Z2,813d59,1,0.278,0.65,Linked,26%,39.8,1101,Disabled,Failed
T000851,Z4,f9cef5,1,0.425,0.393,Linked,75%,32.6,1162,Disabled,Valid
T000852,Z3,e825e8,1,0.332,0.745,Anonymous,44%,35.7,174,Disabled,Valid
T000853,Z2,b9ec2f,1,0.347,0.531,Anonymous,49%,33.4,872,Enabled,Valid
T000854,Z3,52ab82,1,0.341,0.551,Linked,47%,33.7,820,Enabled,Failed
T000855,Z4,36a20f,1,0.407,0.485,Anonymous,69%,33.5,852,Disabled,Failed
T000856,Z3,c36811,1,0.317,0.754,Linked,39%,31.0,255,Disabled,Failed
T000857,Z3,d78535,1,0.317,0.756,Linked,39%,28.5,246,Disabled,Valid
T000858,Z2,f8a6f0,1,0.344,0.628,Anonymous,48%,38.2,662,Disabled,Failed
T000859,Z2,42ad30,1,0.338,0.585,Linked,46%,39.3,927,Disabled,Failed
T000860,Z1,84942b,1,0.317,0.699,Linked,39%,30.4,529,Disabled,Valid
T000861,Z5,547358,1,0.26,0.803,Anonymous,20%,31.7,484,Disabled,Valid
T000862,Z4,6942da,1,0.371,0.593,Anonymous,57%,29.1,362,Enabled,Failed
T000863,Z1,fb3c7a,1,0.389,0.45,Anonymous,63%,33.4,926,Enabled,Failed
T000864,Z5,4df04b,1,0.281,0.66,Linked,27%,29.3,776,Enabled,Valid
T000865,Z5,2f6288,1,0.38,0.472,Anonymous,60%,28.0,891,Enabled,Failed
T000866,Z3,ad4b2b,1,0.293,0.702,Anonymous,31%,28.6,463,Enabled,Failed
T000867,Z5,1075de,1,0.254,0.682,Linked,18%,40.7,890,Enabled,Valid
T000868,Z3,9464c3,1,0.371,0.575,Anonymous,57%,34.8,451,Enabled,Failed
T000869,Z4,b9d52a,1,0.434,0.512,Linked,78%,33.3,240,Enabled,Failed
T000870,Z2,68400f,1,0.41,0.503,Anonymous,70%,29.4,735,Disabled,Valid
T000871,Z4,311a57,1,0.401,0.432,Linked,67%,28.0,917,Enabled,Failed
T000872,Z5,78940d,1,0.449,0.528,Anonymous,83%,27.6,286,Disabled,Failed
T000873,Z4,cc080f,1,0.389,0.438,Anonymous,63%,30.7,984,Enabled,Valid
T000874,Z2,e07b2b,1,0.32,0.665,Anonymous,40%,40.3,423,Enabled,Failed
T000875,Z5,43f5ab,1,0.386,0.62,Linked,62%,41.9,348,Disabled,Valid
T000876,Z1,d48aae,1,0.293,0.618,Anonymous,31%,30.8,1136,Disabled,Valid
T000877,Z1,07c28a,1,0.302,0.806,Anonymous,34%,33.0,121,Disabled,Valid
T000878,Z2,eb56d9,1,0.254,0.791,Anonymous,18%,28.2,596,Disabled,Failed
T000879,Z2,9ad83b,1,0.236,0.798,Linked,12%,36.1,462,Enabled,Valid
T000880,Z4,504225,1,0.287,0.762,Linked,29%,33.6,464,Disabled,Valid
T000881,Z5,881164,1,0.377,0.453,Linked,59%,37.4,1009,Enabled,Failed
T000882,Z1,12825c,1,0.32,0.774,Linked,40%,30.0,132,Disabled,Valid
T000883,Z1,612455,1,0.266,0.751,Linked,22%,39.0,443,Enabled,Valid
T000884,Z4,f013b4,1,0.443,0.49,Anonymous,81%,36.4,524,Disabled,Valid
T000885,Z4,d3e9bc,1,0.365,0.649,Linked,55%,31.9,130,Enabled,Failed
T000886,Z1,0624b2,1,0.254,0.726,Anonymous,18%,36.9,670,Enabled,Valid
T000887,Z1,07b41b,1,0.458,0.508,Anonymous,86%,34.5,308,Disabled,Failed
T000888,Z5,8606c6,1,0.47,0.476,Linked,90%,37.4,372,Disabled,Valid
T000889,Z3,ec0654,1,0.461,0.311,Anonymous,87%,40.7,1019,Enabled,Failed
T000890,Z2,b2276f,1,0.464,0.439,Linked,88%,38.4,354,Enabled,Valid
T000891,Z4,08c7d6,1,0.371,0.562,Linked,57%,34.5,513,Enabled,Valid
T000892,Z1,b8e35c,1,0.335,0.689,Anonymous,45%,31.8,181,Enabled,Failed
T000893,Z4,e2e17a,1,0.359,0.693,Linked,53%,30.6,210,Disabled,Failed
T000894,Z2,687ab4,1,0.398,0.574,Anonymous,66%,36.4,232,Enabled,Valid
T000895,Z2,5724cf,1,0.263,0.741,Linked,21%,29.6,518,Enabled,Valid
